EndNodes_1,EndNodes_2
1,1338
2,209
2,1033
3,97
3,1010
3,1270
4,917
5,686
5,1289
6,465
6,764
6,1343
7,293
7,631
7,723
7,845
7,937
7,1145
8,61
9,319
9,414
9,629
10,972
10,2632
11,611
12,885
12,1895
13,1285
14,560
15,1242
16,345
17,429
18,473
18,978
18,1338
19,453
20,125
20,1079
21,999
22,114
22,772
23,573
23,3650
24,531
25,189
25,587
25,598
25,779
25,1086
26,606
26,882
26,1439
26,1570
27,220
27,446
27,481
27,769
27,1001
28,92
29,737
30,264
30,334
30,1037
31,1131
32,715
32,716
32,797
33,64
33,978
34,36
34,1167
35,702
35,847
35,2591
36,343
36,1166
37,390
37,867
37,900
37,1144
38,85
39,61
39,242
40,904
41,1218
41,1276
42,124
42,5244
43,1237
43,3080
44,140
44,167
44,428
44,447
45,61
46,648
47,719
48,937
48,4826
49,228
49,962
49,4597
50,426
50,550
51,472
51,3635
52,170
52,2356
53,573
53,1180
54,133
54,342
54,1294
55,410
55,836
56,1076
57,1341
58,792
59,1087
60,268
60,565
60,950
60,1017
60,1327
61,992
61,3528
62,1100
62,1237
62,1728
63,188
63,709
63,920
64,1426
64,1701
65,1266
65,5522
66,1319
66,3289
67,449
68,271
69,776
69,1024
69,1218
70,138
70,829
70,1142
70,1249
71,181
71,342
71,722
72,93
72,260
72,405
72,552
72,991
72,1073
72,1124
72,1191
73,118
73,197
73,790
73,812
74,273
74,693
74,1101
74,1159
75,197
76,861
76,4988
77,182
77,737
77,1094
78,1288
78,4608
79,463
79,2366
80,397
80,1161
81,429
82,905
82,1029
82,1310
83,286
83,952
83,1230
84,1260
84,1563
85,453
85,1357
86,554
86,879
86,1090
86,1948
87,1317
88,475
88,1120
89,399
90,742
91,886
91,941
92,944
93,318
93,346
93,390
93,474
93,507
94,809
94,3064
94,3804
95,224
95,486
95,998
95,1113
95,1261
95,1343
96,140
96,385
96,1361
98,1240
99,288
99,563
100,137
100,510
101,1054
101,2853
102,689
102,842
102,1228
103,177
104,106
105,1077
105,1938
106,735
106,1762
106,4179
107,607
107,1029
108,170
108,426
109,931
109,3649
110,789
110,790
111,710
111,764
111,891
111,1095
112,485
112,753
113,204
113,212
113,398
113,734
113,1248
115,524
116,125
117,818
117,968
117,5477
117,5595
118,572
119,311
119,687
119,2922
120,563
121,953
122,403
123,597
124,228
124,531
124,858
124,871
124,1119
125,307
125,433
125,612
126,766
126,940
126,941
126,1139
127,976
127,1175
128,518
129,346
129,1222
130,378
130,520
130,547
131,1224
131,5213
131,5239
132,324
134,788
134,1737
135,539
135,555
135,872
135,1202
136,1247
137,578
138,936
138,1284
139,548
140,198
140,1166
141,561
142,177
142,3238
143,1156
144,531
144,3629
145,176
145,235
145,1770
146,225
146,767
147,915
147,1319
148,690
148,963
149,794
149,983
150,312
150,371
150,823
150,1192
151,615
151,5378
152,627
153,638
153,712
153,947
154,273
155,555
155,4349
156,379
157,718
158,764
158,5325
159,380
160,184
160,366
160,635
160,745
160,1036
160,1082
161,779
161,5503
162,725
162,1508
162,3174
162,3948
163,487
163,667
163,887
164,1132
164,3714
165,603
166,1151
166,2443
167,504
168,1293
169,830
170,961
170,1350
171,274
172,189
172,836
173,376
173,944
173,5049
174,412
174,2650
175,986
175,1369
176,1898
176,4764
177,671
177,4918
178,446
179,1073
180,576
181,708
181,3227
181,4636
183,555
184,1188
185,675
186,796
187,317
187,828
187,864
188,203
188,217
188,321
189,438
189,650
189,918
190,1036
191,532
191,892
192,352
193,350
193,744
193,977
193,1032
193,1110
194,513
194,2583
194,5435
195,348
195,2901
196,1149
196,3572
196,5167
197,199
197,377
197,593
197,959
198,371
198,484
198,849
198,1101
199,1215
200,671
200,813
201,1132
202,537
202,1030
202,1101
202,1339
203,493
203,1102
205,448
205,871
205,1131
205,1304
206,456
206,1011
207,621
207,929
208,1218
208,1290
209,403
209,659
209,1137
210,516
210,3715
211,884
211,2152
212,980
213,468
213,838
214,305
214,355
214,856
215,516
216,748
216,2137
217,868
218,957
218,1076
219,309
219,435
220,269
220,667
220,2131
221,253
221,892
221,5316
222,1014
222,1321
222,4783
223,354
223,1058
223,1138
223,2906
225,2861
226,1183
227,467
227,683
228,5550
229,789
229,1957
230,706
230,849
230,1028
231,313
231,374
231,483
231,573
231,787
231,1277
232,301
232,332
233,828
233,2249
233,3520
234,598
234,822
234,1229
234,1346
235,397
235,2267
235,2559
236,688
236,953
237,771
237,2177
238,274
238,678
238,855
238,1356
239,1032
240,637
241,761
241,2045
242,2539
242,4633
243,1307
244,522
245,894
245,1158
246,466
